Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
11;504;550.6507340935242;1.4651332362501301
12;504;550.6500002667009;1.4652631066210506
13;504;550.6495443538063;1.4653330967483995
14;504;550.6493114021108;1.4653702023537474
15;504;550.6492094990101;1.4653896768610983
16;504;550.6491694422768;1.4653998756384743
17;504;550.6491549746526;1.4654052283982448
18;504;550.6491501809668;1.4654080484104086
19;504;550.6491487635425;1.4654095400231437
20;504;550.6491484180309;1.465410331850472
21;504;550.6491483664449;1.465410753483994
22;504;550.6491483732806;1.4654109785624205
23;504;550.6491483801852;1.4654110989559728
24;504;550.6491483794886;1.4654111634583438
25;504;550.6491483743079;1.4654111980582532
26;504;550.6491483680453;1.4654112166365023
27;504;550.6491483624517;1.4654112266191406
28;504;550.6491483581218;1.4654112319862767
29;504;550.6491483550371;1.4654112348741626
30;504;550.6491483530448;1.4654112364272907
31;504;550.649148351705;1.4654112372639154
1;505;552.5876218936598;1.216897520723658
2;505;551.858886384853;1.3397960571059788
3;505;551.4549874594652;1.4036244984850998
4;505;551.2747028060221;1.4363268923587351
5;505;551.1809562876819;1.4523260176645711
6;505;551.1438478685853;1.4602861583691167
7;505;551.1173328561213;1.4641775759652307
8;505;551.1042923041972;1.4660623469325622
9;505;551.0983696074314;1.4669801823413273
10;505;551.0959139702388;1.4674398602309173
11;505;551.094764549472;1.4676811634829838
12;505;551.0940303741932;1.467811722465181
13;505;551.0935767747388;1.467882078278678
14;505;551.0933469347702;1.4679193766422842
15;505;551.0932477785508;1.4679389510542988
16;505;551.0932097045818;1.4679492012313464
17;505;551.0931965137903;1.4679545804502714
18;505;551.0931924871123;1.4679574141401905
19;505;551.0931915104595;1.467958912862676
20;505;551.0931914106867;1.4679597084050988
21;505;551.0931914934132;1.4679601319887816
22;505;551.0931915725927;1.4679603580956035
23;505;551.0931916180126;1.4679604790325416
24;505;551.0931916376102;1.4679605438233339
25;505;551.093191643194;1.467960578576367
