Iterations;Energies;cond(Ai);cond(A0 @ Ai)
14;6;923.1291832870376;1.7716154108094737
15;6;923.128053890152;1.7716348180046986
16;6;923.1275297261002;1.771644267247083
17;6;923.1272855310461;1.7716488940574022
18;6;923.1271714094697;1.7716511730417766
19;6;923.1271179085247;1.7716523022376904
20;6;923.1270927775257;1.7716528649146288
21;6;923.1270809366675;1.7716531468354335
22;6;923.1270753382668;1.7716532888282752
23;6;923.1270726918079;1.771653360685434
24;6;923.1270714323249;1.7716533972250654
25;6;923.1270708573794;1.7716534158524853
26;6;923.1270705569494;1.7716534254347425
27;6;923.1270703915053;1.771653430392263
28;6;923.1270703448217;1.7716534329108737
29;6;923.1270702784582;1.7716534342705534
30;6;923.1270702804678;1.7716534349339
31;6;923.1270702783867;1.7716534352845625
1;7;940.3998871929597;1.3456967628259027
2;7;912.5961181587057;1.5447832391401999
3;7;900.3804176118406;1.648023299900672
4;7;894.7925184130058;1.7000183746906885
5;7;892.2831484788202;1.7246499617892128
6;7;891.1213428468225;1.7374237875038978
7;7;890.5946628681478;1.7434653058112768
8;7;890.3558954450683;1.7463604041599512
9;7;890.2463192087724;1.7477562270224747
10;7;890.1956028451305;1.748437451525702
11;7;890.1720716402651;1.7487734213568542
12;7;890.1612482930195;1.7489382620920533
13;7;890.156301542664;1.7490182921517319
14;7;890.1540337646927;1.7490569949884784
15;7;890.1529876693803;1.749075748537069
16;7;890.1525026133958;1.7490848781866724
17;7;890.1522768359039;1.7490893480453777
18;7;890.1521714182587;1.7490915495748767
19;7;890.1521220484176;1.7490926403553846
20;7;890.1520988839302;1.7490931838893493
21;7;890.1520879834009;1.7490934562253366
22;7;890.152082836589;1.7490935933982958
23;7;890.1520804076256;1.749093662820946
24;7;890.1520792531655;1.7490936981270973
25;7;890.1520787272812;1.7490937161275522
26;7;890.1520784540669;1.7490937253870353
27;7;890.1520783032211;1.749093730178155
28;7;890.1520782606946;1.7490937326137903
29;7;890.1520782002153;1.7490937339281116
30;7;890.1520782020774;1.7490937345697013
31;7;890.1520781998462;1.7490937349093185
1;8;906.6813842370505;1.336652498578624
2;8;880.6376486797033;1.5301104234671845
3;8;869.2204480973521;1.6303585236689404
4;8;864.0064026321174;1.680826261768677
5;8;861.6643543479123;1.7047322247895926
6;8;860.586332785453;1.7171226936621178
7;8;860.0937844100348;1.7229828494537194
8;8;859.871131808064;1.72579034845707
9;8;859.7690068920514;1.7271437295866485
10;8;859.7217569852914;1.7278042003314402
11;8;859.6998464224262;1.7281299288708434
12;8;859.6897781404275;1.7282897260750554
13;8;859.6851817038854;1.7283672915194315
14;8;859.6830766025008;1.7284047950254164
15;8;859.682106301889;1.7284229646926108
16;8;859.6816566838659;1.7284318091631028
17;8;859.6814475301146;1.7284361391003762
18;8;859.6813499361085;1.7284382716323685
19;8;859.6813042629168;1.728439328212396
20;8;859.6812828492332;1.728439854710132
21;8;859.6812727812658;1.728440118517919
22;8;859.6812680320439;1.7284402514027657
23;8;859.6812657931455;1.7284403186593615
24;8;859.6812647299587;1.7284403528667713
25;8;859.6812642462272;1.7284403703097584
26;8;859.6812639960484;1.7284403792815453
27;8;859.6812638578618;1.7284403839244495
28;8;859.6812638188699;1.7284403862855036
29;8;859.6812637635638;1.7284403875587948
30;8;859.6812637651276;1.7284403881818513
31;8;859.6812637626027;1.7284403885118373
1;9;875.4522521501168;1.3283304555161548
2;9;851.0875942282546;1.5166495892319043
3;9;840.4277244423218;1.6141763760658567
4;9;835.5668852573791;1.6632574015914723
5;9;833.3828519225788;1.6865065844364073
6;9;832.3830843717544;1.6985489017069995
7;9;831.9227176755192;1.7042460216386124
8;9;831.7151564631562;1.7069747294238828
9;9;831.6199920465555;1.708289994383472
10;9;831.5759747139278;1.7089318518486634
11;9;831.5555717377442;1.709248404679731
12;9;831.5462023055517;1.7094036874652543
13;9;831.5419280373897;1.7094790493316556
14;9;831.5399717236508;1.7095154818614677
15;9;831.5390704577231;1.7095331307805106
16;9;831.5386530055109;1.7095417212001172
17;9;831.5384588905152;1.709545926616341
18;9;831.5383683494841;1.709547997796525
19;9;831.5383259955685;1.7095490239861362
20;9;831.5383061470181;1.7095495353528152
21;9;831.5382968196051;1.70954979159029
22;9;831.538292422103;1.7095499206673381
23;9;831.5382903502081;1.7095499860013887
24;9;831.5382893667297;1.7095500192341333
25;9;831.5382889193343;1.7095500361818954
26;9;831.5382886891779;1.709550044898271
27;9;831.5382885617724;1.7095500494089133
28;9;831.5382885255617;1.7095500517048532
29;9;831.5382884748986;1.709550052940863
30;9;831.5382884760434;1.7095500535471122
31;9;831.5382884734255;1.709550053868659
